"year","country_name","country_code","co2_per_capita","gdp_per_capita","pm2_5","mortality_rate_infant","mortality_rate_neonatal","mortality_rate_under_5","health_expenditure_percent_of_gdp","population","immunization","basic_sanitation","birth_rate","region","income_level","mortality_rate_neonatal_cat","mortality_rate_under_5_cat","mortality_count_under_5","mortality_count_neonatal","live_births"
2012,"AFGHANISTAN","AFG",0.335061035441608,663.141052810937,54.70023262,59.4,44.5,80.3,7.89716864,30466479,"59","38.8603050336229",40.009,"South Asia","Low income","High","High",97880348672.3733,54242534444.8395,1218933358.311
2012,"ALBANIA","ALB",1.5659214019027,4247.63135624709,21.55597679,10,6.1,11.2,6.09262609,2900401,"98","96.2102708087274",12.227,"Europe and Central Asia","Upper middle income","High","Low",397187873.9024,216325538.4647,35463203.027
2012,"ALGERIA","DZA",3.6213677179274,5610.73330610332,32.49110136,22.8,17,26.5,6.00050974,37260563,"95","87.0935397027506",25.382,"Middle East and North Africa","Lower middle income","High","High",25062311666.749,16077709371.122,945747610.066
2012,"ANDORRA","AND",6.86229281962458,44902.3807653946,11.21333853,3.9,2,4.1,6.74644995,71013,"98","99.9999980016794",9.5,"Europe and Central Asia","High income","High","High",2765956.35,1349247,674623.5
2012,"ANGOLA","AGO",0.947583107262692,4962.55207190082,29.11115709,67.2,34,104.9,2.39574957,25188292,"65","43.5914724861148",43.86,"Sub-Saharan Africa","Lower middle income","High","Low",115889165298.888,37561788562.08,1104758487.12
2012,"ANTIGUA AND BARBUDA","ATG",5.35962771175035,13686.4765853976,16.78599453,7.5,5,9,5.47921467,87674,"98","97.3724715198517",13.497,"Latin America and Caribbean","High income","High","High",10650023.802,5916679.89,1183335.978
2012,"ARGENTINA","ARG",4.26411100150765,13082.664325572,13.35883878,11.9,7.5,13.3,9.82726669,41733271,"94","93.2268007089789",17.729,"Latin America and Caribbean","Upper middle income","High","Low",9840525848.7347,5549168711.6925,739889161.559
2012,"ARMENIA","ARM",1.96145306391904,3643.71540446926,40.53562091,15,8.8,16.8,9.13455009,2914421,"97","91.6861698103562",15.094,"Europe and Central Asia","Upper middle income","High","Low",739036545.6432,387114381.0512,43990270.574
2012,"AUSTRALIA","AUS",17.4056176654109,68047.3781775015,6.995491287,3.6,2.5,4.3,8.67481709,22733465,"94","99.9967359414915",13.7,"East Asia and Pacific","High income","High","High",1339228423.15,778621176.25,311448470.5
2012,"AUSTRIA","AUT",7.72385166247508,48564.9173350875,14.50094818,3.3,2.4,4,10.19915581,8429991,"88","99.9823078846103",9.4,"Europe and Central Asia","High income","High","High",316967661.6,190180596.96,79241915.4
2012,"AZERBAIJAN","AZE",3.23916734726194,7495.86194235033,28.76775881,28.5,17.4,32.5,2.96481562,9295784,"94","89.867944807487",18.8,"Europe and Central Asia","Upper middle income","High","High",5679724024,3040836862.08,174760739.2
2012,"BAHAMAS, THE","BHS",6.26680032769636,28059.6553953426,16.42049683,12.7,7.6,14.7,5.31605101,382061,"91","93.9022656723855",14.114,"Latin America and Caribbean","High income","High","Low",79268411.6238,40982308.0504,5392408.954
2012,"BAHRAIN","BHR",22.1841250870451,25102.726348527,68.07534915,6.7,3.2,7.9,4.10642147,1224939,"99","99.9924603747062",15.955,"Middle East and North Africa","High income","High","High",154396823.7855,62540485.584,19543901.745
2012,"BANGLADESH","BGD",0.387829234655971,876.818006772634,68.94271136,35.5,27.1,44.4,2.81963444,152090649,"88","43.8868927179976",20.117,"South Asia","Lower middle income","High","High",135846576815.425,82915365578.7843,3059607585.933
2012,"BARBADOS","BRB",5.31367103914959,16691.3326357636,20.0960981,13.6,9.8,14.7,7.77819967,276197,"90","94.8550362496273",11.603,"Latin America and Caribbean","High income","High","Low",47109292.7277,31406195.1518,3204713.791
2012,"BELARUS","BLR",6.3236304726789,6953.21730687953,18.88122818,3.7,1.7,4.9,5.24532652,9446836,"98","96.0031998605471",12.2,"Europe and Central Asia","Upper middle income","Low","High",564731856.08,195927378.64,115251399.2
2012,"BELGIUM","BEL",8.57803036878231,44670.5606845101,15.11497046,3.5,2.3,4.3,10.4796896,11106932,"96","99.4861402795475",11.5,"Europe and Central Asia","High income","High","High",549237787.4,293778351.4,127729718
2012,"BELIZE","BLZ",1.38047048142907,5645.89582239311,19.6942048,15.2,10.8,17.7,5.43051958,337059,"96","86.2578541142756",22.43,"Latin America and Caribbean","Upper middle income","Low","Low",133816130.649,81650520.396,7560233.37
2012,"BENIN","BEN",0.443845154791085,1112.56953520697,43.41596784,67.1,33.3,104.6,3.41449809,10014078,"74","14.4517136045026",39.122,"Sub-Saharan Africa","Lower middle income","High","Low",40979221445.3736,13045966291.8828,391770759.516
2012,"BHUTAN","BTN",1.15635551796102,2470.0721358991,44.30762611,31,20.9,38,3.61913681,721145,"95","65.6661456957171",18.541,"South Asia","Lower middle income","High","High",508088478.91,279448663.4005,13370749.445
2012,"BOLIVIA","BOL",1.60468176145447,2562.46678423329,27.74731988,29.8,20,37.3,5.2539444,10569697,"92","51.4707416747081",24.934,"Latin America and Caribbean","Lower middle income","High","High",9830221972.4254,5270896499.96,263544824.998
2012,"BOSNIA AND HERZEGOVINA","BIH",5.97658267775681,4688.34590186606,34.47534031,5.8,4.9,6.7,9.49001503,3674374,"94","95.2539078629793",9.211,"Europe and Central Asia","Upper middle income","High","High",226759214.7238,165838828.6786,33844658.914
2012,"BOTSWANA","BWA",1.5695025110036,6392.98734736839,26.62372992,42.9,24.4,55.2,6.35010576,2175425,"97","70.1498597100217",27.407,"Sub-Saharan Africa","Upper middle income","High","High",3291127388.22,1454773700.59,59621872.975
2012,"BRAZIL","BRA",2.2714176835721,12327.5155558345,13.78803347,15.4,10.3,17.2,7.73637581,199977707,"99","83.5422241377624",14.939,"Latin America and Caribbean","Upper middle income","Low","Low",51384431795.8156,30770909738.1919,2987466964.873
2012,"BRUNEI DARUSSALAM","BRN",17.9510321320893,46844.1967205228,7.610637069,8.2,4.8,10,1.85097206,406634,"95","87.3144713929755",17.334,"East Asia and Pacific","High income","High","Low",70485937.56,33833250.0288,7048593.756
2012,"BULGARIA","BGR",6.16257736225904,7431.01404543523,22.6468314,8.2,4.7,9.8,7.53875399,7305888,"94","85.9520261721643",9.5,"Europe and Central Asia","Upper middle income","High","High",680178172.8,326207899.2,69405936
2012,"BURKINA FASO","BFA",0.157359014386809,733.972878936782,54.18097152,64.6,29.9,112.9,4.60267258,17113732,"87","18.8675829272628",42.336,"Sub-Saharan Africa","Low income","High","Low",81799093552.7808,21663356042.7648,724526957.952
2012,"BURUNDI","BDI",0.0371804176191894,238.205945258781,37.10546174,53.5,26.2,80.5,8.52668476,9795479,"93","45.9213248562526",44.413,"Sub-Saharan Africa","Low income","High","High",35021252010.5735,11398221151.2674,435046608.827
2012,"CABO VERDE","CPV",0.984520402199811,3583.46171744213,52.29133025,20.5,14.8,24.2,5.13365459,533864,"91","63.9530692607862",20.233,"Sub-Saharan Africa","Lower middle income","High","Low",261400421.5504,159864720.6176,10801670.312
2012,"CAMBODIA","KHM",0.383718004901722,950.482544612158,24.96952852,32.3,19.3,37.8,7.26115417,14786640,"84","44.3410593815793",23.294,"East Asia and Pacific","Lower middle income","High","High",13019831703.648,6647691848.688,344439992.16
2012,"CAMEROON","CMR",0.326477590782042,1433.72392714331,61.32736378,64.3,30.7,101.5,3.9310236,21032684,"82","40.679527922419",38.76,"Sub-Saharan Africa","Lower middle income","High","Low",82745523431.76,25027463737.488,815226831.84
2012,"CANADA","CAN",15.7368239449526,52669.0899632316,7.600495484,4.8,3.7,5.6,10.51472855,34714222,"89","99.3455538928115",11,"North America","High income","High","High",2138396075.2,1412868835.4,381856442
2012,"CENTRAL AFRICAN REPUBLIC","CAF",0.0413130857313568,525.867503569855,47.17214767,87.8,35.3,123.3,3.91814446,4773306,"48","17.1121604556915",43.006,"Sub-Saharan Africa","Low income","High","Low",25311122373.1788,7246412163.6108,205280797.836
2012,"CHAD","TCD",0.0967259186386791,969.616141908901,59.8616705,81,37.2,140.6,3.8560791,12754906,"63","10.904855366766",48.019,"Sub-Saharan Africa","Low income","High","Low",86114383068.6884,22784175321.1608,612477831.214
2012,"CHILE","CHL",4.52160278209186,15406.4928361503,21.42944248,7.2,5.3,8.4,7.02092028,17341771,"90","98.0270041806951",13.857,"Latin America and Caribbean","High income","High","High",2018561334.2748,1273616079.9591,240304920.747
2012,"CHINA","CHN",7.04520023039603,6300.58235236313,58.90513577,10.6,7,13.5,4.56584787,1354190000,"99","79.464668205991",14.57,"East Asia and Pacific","Upper middle income","High","Low",266362402050,138113838100,19730548300
2012,"COLOMBIA","COL",1.53384649831834,8096.80150977527,23.4265212,14.8,9.4,17.2,6.74599648,45782417,"94","86.0689202628907",16.344,"Latin America and Caribbean","Upper middle income","High","Low",12870206563.3056,7033717540.4112,748267823.448
2012,"COMOROS","COM",0.233875244137415,1483.95155852999,17.34428608,51.6,32,68,5.17354631,684553,"85","34.6899269606426",33.408,"Sub-Saharan Africa","Lower middle income","High","High",1555129170.432,731825491.968,22869546.624
2012,"CONGO, DEM. REP.","COD",0.0398223214302063,412.776260686934,39.0123562,79.5,31.3,106.8,3.30099463,70997870,"69","18.7546676228376",44.646,"Sub-Saharan Africa","Low income","High","Low",338531532549.336,99213829295.826,3169770904.02
2012,"CONGO, REP.","COG",1.11616022635727,3753.86092474115,39.05647597,40.9,22,58.2,1.90971065,4713257,"80","17.1843319776117",37.508,"Sub-Saharan Africa","Lower middle income","High","High",10288877894.9592,3889266558.232,176784843.556
2012,"COSTA RICA","CRI",1.57216378945795,9971.65165625728,18.87125053,8.6,6.5,9.9,7.78642273,4736593,"90","96.4067319723308",15.483,"Latin America and Caribbean","Upper middle income","High","High",726033027.2481,476688351.2235,73336669.419
2012,"COTE D'IVOIRE","CIV",0.365172194338829,1649.30161477828,56.69822576,71.1,38.1,100.1,4.42740679,22010712,"74","29.1096545103652",37.742,"Sub-Saharan Africa","Lower middle income","High","Low",83155902059.6304,31650747936.7824,830728292.304
2012,"CROATIA","HRV",4.07797621028232,13410.8208102542,20.57402212,4.4,3.3,5.2,7.70057678,4267558,"95","96.4140137300953",9.8,"Europe and Central Asia","High income","High","High",217474755.68,138012825.72,41822068.4
2012,"CUBA","CUB",2.53693202667895,6467.33791422804,19.05070976,4.8,2.7,6,9.29940987,11309290,"99","87.2132172546292",11.191,"Latin America and Caribbean","Upper middle income","High","High",759373586.34,341718113.853,126562264.39
2012,"CYPRUS","CYP",6.13787832149935,28991.9296875,16.81350235,2.6,1.8,3.1,6.55474567,1156556,"86","99.5284351936915",11.762,"Europe and Central Asia","High income","Low","High",42170576.1832,24486141.0096,13603411.672
2012,"CZECHIA","CZE",10.2104838030651,19870.8012123403,19.04740747,2.6,1.6,3.2,6.97858715,10510785,"98","99.1338671315178",10.3,"Europe and Central Asia","High income","Low","High",346435473.6,173217736.8,108261085.5
2012,"DENMARK","DNK",6.83460751287831,58507.5080517852,10.82992224,3.5,3,4.1,10.5219717,5591572,"90","99.5972277498307",10.4,"Europe and Central Asia","High income","High","High",238424630.08,174457046.4,58152348.8
2012,"DJIBOUTI","DJI",0.516191500130463,1418.46085811933,47.01194744,59.3,35.9,72.2,3.299927,954297,"83","57.5227688121713",25.06,"Middle East and North Africa","Lower middle income","High","High",1726640099.604,858537113.238,23914682.82
2012,"DOMINICA","DMA",2.42422482870747,7054.87597689432,17.78294307,23.8,21.6,27.2,5.79509926,68888,"99","79.1107439552219",13.516,"Latin America and Caribbean","Upper middle income","High","High",25325653.6576,20111548.4928,931090.208
2012,"DOMINICAN REPUBLIC","DOM",2.16147493311157,6049.47161121834,16.98500632,28.9,24.5,35.1,5.04897833,10030882,"88","83.6001473961909",21.454,"Latin America and Caribbean","Upper middle income","High","High",7553609239.2228,5272462289.486,215202542.428
2012,"ECUADOR","ECU",2.39507751382518,5678.45572070003,20.88473743,14.9,8.1,17.3,6.76221228,15483883,"96","82.5812991805288",21.004,"Latin America and Caribbean","Upper middle income","High","Low",5626366178.6036,2634310176.1092,325223478.532
2012,"EGYPT, ARAB REP.","EGY",2.35642277493464,3059.13542779204,69.70422324,22.3,14,26.4,4.71025944,91240376,"93","94.9913271486837",27.978,"Middle East and North Africa","Lower middle income","High","High",67391893528.8192,35738125356.192,2552723239.728
2012,"EL SALVADOR","SLV",1.09905573330516,3471.05126865498,25.40130599,15,8.6,17.5,8.60625362,6161289,"93","84.4929764471639",19.151,"Latin America and Caribbean","Upper middle income","High","Low",2064909798.6825,1014755672.4954,117994845.639
2012,"EQUATORIAL GUINEA","GNQ",4.91682556491259,18756.4250106345,39.74657182,74.3,34.2,103.6,1.26357567,1193636,"49","65.4060707706963",37.458,"Sub-Saharan Africa","Upper middle income","High","Low",4632082111.0368,1529123631.2496,44711217.288
2012,"ESTONIA","EST",12.8442211967073,17403.2053254767,7.484387015,3.1,1.8,3.9,5.83366966,1322696,"94","99.1602852566758",10.6,"Europe and Central Asia","High income","Low","High",54680252.64,25237039.68,14020577.6
2012,"ESWATINI","SWZ",0.725452654384746,4396.57932040158,23.42327297,53.8,26.2,70.4,7.82047606,1111444,"88","58.2500075134818",29.294,"Sub-Saharan Africa","Lower middle income","High","High",2292128293.7344,853036382.0432,32558640.536
2012,"ETHIOPIA","ETH",0.090618147260683,458.550920793057,35.57819849,49.5,35.6,73.6,4.5395956,94451280,"62","6.51408999312917",34.845,"Sub-Saharan Africa","Low income","High","High",242228997077.76,117165112716.96,3291154851.6
2012,"FIJI","FJI",1.09048919993107,4359.79284510059,10.99967408,20.1,9,23.6,3.2655499,911059,"96","91.9124417799051",21.925,"East Asia and Pacific","Upper middle income","High","Low",471409258.37,179774717.175,19974968.575
2012,"FINLAND","FIN",9.12603706225985,47708.0612784469,6.363062222,2.3,1.5,2.8,9.5857954,5413971,"97","99.4480129972437",11,"Europe and Central Asia","High income","Low","Low",166750306.8,89330521.5,59553681
2012,"FRANCE","FRA",5.15235849401422,40870.8523645734,13.68529611,3.1,2.3,4.1,11.29740047,65662240,"91","98.653942111776",12.6,"Europe and Central Asia","High income","High","High",3392111318.4,1902891715.2,827344224
2012,"GABON","GAB",3.05001075295162,9348.51486808302,34.93156522,38.7,23.2,56.8,2.42097569,1836705,"71","46.1524575071287",32.718,"Sub-Saharan Africa","Upper middle income","High","High",3413300245.992,1394164889.208,60093314.19
2012,"GAMBIA, THE","GMB",0.219746202597362,686.557560103613,62.12654192,43.3,31.8,68,4.26872253,2061014,"95","46.4212039686368",40.136,"Sub-Saharan Africa","Low income","High","High",5625018337.472,2630523281.3472,82720857.904
2012,"GEORGIA","GEO",1.92900055083653,4421.92981926543,20.13867477,10.8,8.6,12.1,8.04715919,3728874,"93","87.4293842768723",14.842,"Europe and Central Asia","Upper middle income","High","Low",669661769.6868,475957952.0088,55343947.908
2012,"GERMANY","DEU",9.45128904680279,43855.8544658618,13.8086903,3.4,2.3,4,10.85349178,80425823,"97","99.2247623529587",8.4,"Europe and Central Asia","High income","High","High",2702307652.8,1553826900.36,675576913.2
2012,"GHANA","GHA",0.479415246317012,1536.61991568022,54.52706673,43.8,28.6,63.4,4.00803423,26858762,"88","17.1069348843732",32.885,"Sub-Saharan Africa","Lower middle income","High","High",55998074622.658,25260961107.382,883250388.37
2012,"GREECE","GRC",7.25081215401234,21912.9982879517,17.37070897,3.5,2.3,4,8.92415524,11045011,"99","98.7408813666546",9.1,"Europe and Central Asia","High income","High","High",402038400.4,231172080.23,100509600.1
2012,"GRENADA","GRD",2.40354751880737,6900.76507593244,20.0647388,13.7,9.7,15.7,5.82235765,115912,"94","91.8255952774375",17.897,"Latin America and Caribbean","Upper middle income","High","Low",32569289.9048,20122427.5208,2074477.064
2012,"GUATEMALA","GTM",0.824228643300048,3355.03459892096,30.32467663,26.6,15,32.1,6.07316971,14781942,"93","66.0535930085137",26.91,"Latin America and Caribbean","Upper middle income","High","High",12768804100.962,5966730888.3,397782059.22
2012,"GUINEA","GIN",0.228832188369081,707.967678161242,52.85547204,74.5,34.9,117.7,3.50398517,10788692,"58","19.8535692875928",38.44,"Sub-Saharan Africa","Lower middle income","High","Low",48812228620.496,14473634484.752,414717320.48
2012,"GUINEA-BISSAU","GNB",0.148845809657673,598.572626243274,56.80371059,66.7,42.5,103.9,5.94134808,1652717,"81","15.9125580822648",37.945,"Sub-Saharan Africa","Low income","High","Low",6515812808.1035,2665274729.0125,62712346.565
2012,"GUYANA","GUY",2.6893702131549,5461.39007580443,22.32520255,29.4,21.9,35.9,3.7081871,743966,"99","84.8880992639554",21.544,"Latin America and Caribbean","High income","High","High",575405325.7936,351013276.7376,16028003.504
2012,"HAITI","HTI",0.238940563023005,1356.17277659383,18.54325277,56.6,28.1,75.8,5.56462336,10108539,"66","29.2647488845642",26.595,"Latin America and Caribbean","Lower middle income","High","High",20377813878.639,7554308311.2105,268836594.705
2012,"HONDURAS","HND",1.13568962715046,2107.34548058009,25.51904301,19.5,13.2,22.9,8.65655136,8792367,"97","75.870361572386",24.111,"Latin America and Caribbean","Lower middle income","High","Low",4854634220.8773,2798304441.7284,211992760.737
2012,"HUNGARY","HUN",4.37758218903705,12984.8365730133,18.42206445,4.8,3.2,5.7,7.40815496,9920362,"99","98.002153963048",9.1,"Europe and Central Asia","High income","High","High",514569176.94,288880941.44,90275294.2
2012,"ICELAND","ISL",5.79921176367877,45995.5478789467,6.191914657,2.1,1.3,2.6,8.18118858,320716,"90","98.7844156277794",14.1,"Europe and Central Asia","High income","Low","Low",11757448.56,5878724.28,4522095.6
2012,"INDIA","IND",1.49820412282441,1434.01797842656,86.38168408,40.9,29.4,52,3.32935286,1274487215,"83","48.6803118983771",20.421,"South Asia","Lower middle income","High","High",1353367777710.78,765173320474.941,26026303417.515
2012,"INDONESIA","IDN",1.92545004760659,3668.21208350123,20.06768554,25.9,16.1,31.2,2.91427088,250222695,"82","66.2697088884734",20.093,"East Asia and Pacific","Upper middle income","High","High",156865007851.812,80946366231.2235,5027724610.635
2012,"IRAN, ISLAMIC REP.","IRN",7.2308576752779,8329.00206687522,41.48378839,15.1,11.4,17.5,6.12235117,77324451,"98","86.4018917854094",18.926,"Middle East and North Africa","Lower middle income","Low","Low",25610244793.455,16683245179.7364,1463442559.626
2012,"IRAQ","IRQ",3.80943176187109,6437.50307624074,53.54775973,27.1,18.7,32.8,2.69039416,33864447,"74","86.4826472215172",34.603,"Middle East and North Africa","Upper middle income","High","High",38435415872.9448,21912874293.4167,1171811459.541
2012,"IRELAND","IRL",8.04636035875816,49054.6974340641,9.157206628,3.4,2.5,4,10.62784767,4599533,"92","89.7472090427931",15.6,"Europe and Central Asia","High income","High","High",287010859.2,179381787,71752714.8
2012,"ISRAEL","ISR",9.61547310536628,33156.2283157638,22.35572158,3.4,2.3,4.3,7.08083487,7910500,"96","99.9884574761968",21.6,"Middle East and North Africa","High income","High","High",734727240,392993640,170866800
2012,"ITALY","ITA",6.32766192019354,35051.5212697703,18.84991698,3.2,2.3,3.8,8.78352833,59539717,"90","99.885637952954",9,"Europe and Central Asia","High income","High","High",2036258321.4,1232472141.9,535857453
2012,"JAMAICA","JAM",2.5215440009247,5365.24214861104,14.82105006,14.1,13.8,16.3,4.88512897,2759817,"93","85.1699524759568",15.037,"Latin America and Caribbean","Upper middle income","High","Low",676439702.1327,572691281.5602,41499368.229
2012,"JAPAN","JPN",9.82785573811594,49145.2804308193,13.106628,2.2,1,3,10.67169094,127629000,"96","99.9671515810901",8.2,"East Asia and Pacific","High income","Low","High",3139673400,1046557800,1046557800
2012,"JORDAN","JOR",3.34494706846206,4386.4618185538,33.23273929,16.3,11.2,19,7.81799555,7211863,"98","97.8077286027056",27.018,"Middle East and North Africa","Lower middle income","Low","Low",3702152176.146,2182321282.7808,194850114.534
2012,"KAZAKHSTAN","KAZ",14.5663225959365,12386.6992652963,24.00908326,14.6,8.7,16.3,3.03725958,16792090,"96","97.5330382592662",22.7,"Europe and Central Asia","Upper middle income","High","Low",6213241220.9,3316269854.1,381180443
2012,"KENYA","KEN",0.296879604689277,1289.78079520061,29.07804791,37.1,22.3,52.2,5.0180583,43725806,"93","32.5150753685583",33.174,"Sub-Saharan Africa","Lower middle income","High","High",75719226166.3368,32347485507.8412,1450559888.244
2012,"KIRIBATI","KIR",0.516941711910265,1698.91907044909,9.70650164,47.7,24.7,62.1,8.64540958,111618,"91","41.3181565213342",30.544,"East Asia and Pacific","Lower middle income","High","High",211715057.9232,84208726.7424,3409260.192
2012,"KOREA, REP.","KOR",11.95852704987,25466.7605170594,25.79816942,3.3,1.7,3.8,6.13262033,50199853,"99","99.9408768062626",9.6,"East Asia and Pacific","High income","Low","High",1831290637.44,819261600.96,481918588.8
2012,"KUWAIT","KWT",25.1324210974698,51271.148649557,69.2648667,8.5,5.2,10,2.33311439,3394663,"99","100",20.036,"Middle East and North Africa","High income","High","Low",680154678.68,353680432.9136,68015467.868
2012,"KYRGYZ REPUBLIC","KGZ",1.80945926665716,1177.97525759238,27.65705871,23.1,15.9,26.1,8.50966358,5607200,"98","96.0347136072869",27.6,"Europe and Central Asia","Lower middle income","High","High",4039202592,2460663648,154758720
2012,"LAO PDR","LAO",0.502688435953585,1566.00974499584,22.99309691,47.7,27.1,62,2.07637572,6508803,"69","61.6304220236327",25.811,"East Asia and Pacific","Lower middle income","High","High",10415920282.446,4552765155.7143,167998714.233
2012,"LATVIA","LVA",3.72149107391712,13847.3379393194,15.24810165,5.6,3.5,6.6,5.41047668,2034319,"90","90.5812569807795",9.8,"Europe and Central Asia","High income","High","High",131579752.92,69777141.7,19936326.2
2012,"LEBANON","LBN",4.53236241673727,8500.1805629531,29.24608686,8.9,6,10.3,7.00114107,5178337,"81","90.0155126489113",17.899,"Middle East and North Africa","Lower middle income","High","Low",954676655.8189,556122323.778,92687053.963
2012,"LESOTHO","LSO",1.42092491524384,1205.86000258954,32.54599663,64.8,38.1,86.9,9.22287178,2054718,"91","34.5834307451435",29.054,"Sub-Saharan Africa","Lower middle income","High","High",5187736801.4868,2274485295.0132,59697776.772
2012,"LIBERIA","LBR",0.217960911781409,644.455576742833,49.16699824,68.3,32.3,94.2,8.77101326,4331740,"80","16.9578913961146",37.307,"Sub-Saharan Africa","Low income","High","High",15223117917.756,5219816441.014,161604224.18
2012,"LITHUANIA","LTU",3.99153483213082,14367.709424872,13.0260807,4.2,2.5,5.2,6.2759347,2987773,"93","90.1462779351199",10.2,"Europe and Central Asia","High income","High","High",158471479.92,76188211.5,30475284.6
2012,"LUXEMBOURG","LUX",20.1489417002859,112584.676270958,11.49788129,2.3,1.5,2.8,5.29404306,530946,"99","97.6275881630653",11.3,"Europe and Central Asia","High income","Low","Low",16799131.44,8999534.7,5999689.8
2012,"MADAGASCAR","MDG",0.119381317969332,504.173737790664,19.17912129,46.3,24.6,68,3.82249689,22966240,"62","9.57497722568056",34.271,"Sub-Saharan Africa","Low income","High","High",53521168750.72,19362069871.584,787076011.04
2012,"MALAWI","MWI",0.0690843116512275,563.061539677727,27.1977447,45.6,24.8,70.5,6.02199793,15581251,"90","27.422603378864",38.794,"Sub-Saharan Africa","Low income","High","High",42614363116.227,14990584472.0912,604459051.294
2012,"MALAYSIA","MYS",6.92563492128782,10601.5109136826,18.18110773,6.9,4.2,8.1,3.45786357,29660212,"95","95.0221064452663",17.209,"East Asia and Pacific","Upper middle income","High","High",4134422965.2948,2143774870.8936,510422588.308
2012,"MALDIVES","MDV",2.95350919520358,7447.41545439203,12.8234432,10.4,6.5,12.1,8.67304802,387539,"98","90.3241236103808",19.865,"South Asia","Upper middle income","High","Low",93151393.0435,50040004.5275,7698462.235
2012,"MALI","MLI",0.152028312737626,753.392136831599,63.43015874,74.9,38.5,126.1,3.752177,16514687,"67","32.8816854500786",45.918,"Sub-Saharan Africa","Low income","High","Low",95624328245.6826,29195373810.141,758321397.666
2012,"MALTA","MLT",6.46528326682983,22526.6557801467,14.08691429,5.9,4.5,6.8,8.37802982,420028,"93","99.9646707791624",9.8,"Middle East and North Africa","High income","High","High",27990665.92,18523234.8,4116274.4
2012,"MARSHALL ISLANDS","MHL",2.66268222132828,3445.31540332931,9.279395317,31,17.6,38,13.03814125,52203,"78","84.5664339716106",27.379,"East Asia and Pacific","Upper middle income","High","High",54312105.606,25155080.4912,1429265.937
2012,"MAURITANIA","MRT",0.647779648212253,1850.38496774479,70.24164945,39.8,27.3,53.4,2.64919329,3636113,"75","36.0288156075821",36.398,"Sub-Saharan Africa","Lower middle income","High","High",7067342668.0116,3613079678.5902,132347240.974
2012,"MAURITIUS","MUS",2.96604298811513,9291.2363790748,14.84558426,12.9,9.4,14.9,4.27675056,1255882,"99","95.0744845618934",11.5,"Sub-Saharan Africa","Upper middle income","High","Low",215195380.7,135760844.2,14442643
2012,"MEXICO","MEX",4.20241354590373,10376.0904951074,22.81352392,15.4,8.7,17.9,5.66522121,115755909,"99","86.3134473539737",19.635,"Latin America and Caribbean","Upper middle income","High","Low",40684324190.5485,19773945276.9705,2272867273.215
2012,"MOLDOVA","MDA",2.84488750225499,3044.80847876248,17.99705557,14.2,12.4,16.6,9.13962078,2860324,"91","78.2681510565517",13.746,"Europe and Central Asia","Upper middle income","High","Low",652679027.4864,487543369.9296,39318013.704
2012,"MONGOLIA","MNG",6.13873838836048,4402.30452253522,40.46590396,19.4,10.3,22.8,3.85800076,2792349,"99","59.1478903931974",25.297,"East Asia and Pacific","Lower middle income","Low","Low",1610547600.4884,727571942.3259,70638052.653
2012,"MONTENEGRO","MNE",3.7570032919702,6586.39868358391,26.06008923,4.7,3.5,5.5,8.29550457,620601,"90","93.8897865095767",12,"Europe and Central Asia","Upper middle income","High","High",40959666,26065242,7447212
2012,"MOROCCO","MAR",1.74129604584338,3164.00463867188,30.42396929,24,17.3,27.9,5.83982801,33352169,"99","79.8028890316832",21.304,"Middle East and North Africa","Lower middle income","High","High",19823915573.6904,12292248724.9048,710534608.376
2012,"MOZAMBIQUE","MOZ",0.148679264792307,667.717789497342,23.59782449,65.4,32.9,96.4,5.24640608,24487611,"85","23.8737014232425",41.079,"Sub-Saharan Africa","Low income","High","High",96971321566.7316,33094984227.6501,1005926572.269
2012,"MYANMAR","MMR",0.238240390408375,1161.30596207229,34.9152645,45.1,27,58.2,2.41021132,50218185,"84","69.807531674854",18.762,"East Asia and Pacific","Lower middle income","High","High",54835666761.654,25439226848.19,942193586.97
2012,"NAMIBIA","NAM",1.6182000212229,6017.17848780818,27.34520834,38.3,21.6,50.3,9.26659298,2167470,"76","32.8736174504631",31.054,"Sub-Saharan Africa","Upper middle income","High","High",3385623253.014,1453866049.008,67308613.38
2012,"NAURU","NRU",4.03102259670624,9675.95926383597,5.209032839,29.5,23.1,36,9.21772289,10444,"96","65.8090174123848",34.497,"East Asia and Pacific","High income","High","High",12970320.048,8322622.0308,360286.668
2012,"NEPAL","NPL",0.219452897902995,794.092559333496,86.99389723,33.5,24.2,41.5,4.49078751,27330694,"86","48.4581805623339",22.335,"South Asia","Lower middle income","High","High",25332888595.335,14772431421.858,610431050.49
2012,"NETHERLANDS","NLD",9.39861278109733,50070.1416045904,13.81230888,3.6,2.7,4.2,10.53898716,16754962,"96","97.7732711548526",10.5,"Europe and Central Asia","High income","High","High",738893824.2,475003172.7,175927101
2012,"NEW ZEALAND","NZL",7.28372768312879,39973.3807587223,6.234547703,5,3.3,6,9.65163612,4408100,"92","100",13.87,"East Asia and Pacific","High income","High","High",366842082,201763145.1,61140347
2012,"NICARAGUA","NIC",0.777036208792913,1746.42128913138,21.51418461,18.7,13,21.9,7.48836899,6030607,"99","68.9111598605716",23.647,"Latin America and Caribbean","Lower middle income","High","Low",3123066225.6651,1853874928.477,142605763.729
